FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m61025c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.2380	 1070.5000		 1.6499	   1.0	
m61025c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.2830	 1066.1000		 8.0616	   0.0	
m61025c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.2380	 1070.5000		 1.6499	   1.0	
m61025c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.0850	 1069.2000		 6.4773	   0.0	
m61025c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.1050	 1070.4000		 1.5776	   1.0	
m61025c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.1580	 1070.0000		 1.4907	   0.0	
m61025c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.0780	 1069.8000		 1.4757	   0.0	
m61026c1r2.htb	   0.0	  0.03	 2.000	 -5.00	  0.00	 40.00	   0.0	 -0.4890	 1071.0000		 1.3333	   0.0	
m61026c1r2.htb	   0.0	  0.03	 2.000	 -5.00	  0.00	 40.00	   1.0	 -0.4890	 1068.7000		 6.3430	   0.0	
m61026c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 0.0870	 1070.2000		 1.3166	   0.0	
m61026c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 0.1620	 1069.0000		 6.4636	   1.0	
m61026c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.1680	 1068.8000		 6.4083	   0.0	
m61026c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.0980	 1070.5000		 1.8409	   0.0	
m61026c4r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.0760	 1070.5000		 1.9748	   0.0	
m61026c4r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.1870	 1068.7143		 5.6779	   0.0	
m61031c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.1160	 1074.5500		 1.4318	   0.0	
m61031c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.0830	 1073.8500		 1.7852	   1.0	
m61031c2r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.0340	 1071.6000		 5.7388	   1.0	
m61031c2r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 0.0610	 1074.3000		 1.5670	   1.0	
m61106c1r2.htb	 180.0	  0.03	 2.000	 -5.00	 10.00	 40.00	   0.0	 0.0610	 1055.2500		 5.6743	   1.0	
m61106c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 -0.4890	 1050.6000		 6.8183	   0.0	
m61106c3r2.htb	 120.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.0910	 1055.3000		 5.3759	   0.0	
m61108c1r2.htb	 180.0	  0.03	 2.000	  8.00	 -10.00	 40.00	   0.0	 0.3760	 1052.3000		 6.3953	   1.0	
m61108c4r2.htb	 180.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   0.0	 0.0450	 1052.5000		 6.6207	   0.0	
m61109c1r2.htb	 180.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.2400	 1049.8000		 5.9404	   1.0	
m61109c2r2.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 40.00	   0.0	 0.2490	 1055.3000		 5.8509	   1.0	
m61109c3r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.0610	 1047.0000		 3.2998	   0.0	
